제목,카테고리,카테고리1,지역명,시군구명,개요,위도,경도
달 카페,커피/음료점,카페/전통찻집,서울,종로구,"카페에 들어서자 마자 왼쪽 벽면에 진짜 달이 떠있는 것처럼 조명 처리가 되어 있다. 카페 외부 뿐만아니라 내부도 한옥으로 인테리어가 되어있고, 안마당은 야외파티나 연주회 등에 다용도로 쓰인다. 늦봄부터 가을까지 카페 안마당에 펼쳐지는 세계의 전통악기 연주회가 이곳에 독특한 색깔을 더하며, 창문만 열면 안마당에서 펼쳐지는 공연을 감상할 수 있다.",37.57721,126.9499843
씨네 드 쉐프(CINE de CHEF),음식점,이색음식점,서울,강남구,CGV ‘씨네 드 쉐프(Cine de Chef)’는 프랑스어로 ‘요리사가 있는 영화관’이라는 의미처럼 영화관과 레스토랑이 결합된 신개념 레스토랑이다. 고급스러우면서도 편안한 카페 분위기의 ‘씨네 드 쉐프’ 레스토랑에서는 최고의 요리사 7명이 정성스럽게 준비한 프렌치(Frenchy)와 이탈리안(Italian) 스타일의 음식을 선보인다.,37.5242994,127.0272208
써니네 애견카페,커피/음료점,카페/전통찻집,서울,마포구,"2007년 오픈한 <써니네 애견카페>는 애견미용, 애견호텔, 애견교육, 애견용품 등 애견에 관한 토탈서비스를 제공하는 애견을 위한 카페이다.카페에 들어서면, 애견이 마음껏 뛰어놀 수 있는 넓은 공간이 마련되어 있으며 한쪽에는 애견 주인들이 맛있는 커피와 음료, 식사를 즐길 수 있도록 안락한 쇼파와 테이블이 놓여있다.써니네 애견카페에서는 10년 이상의 경력을 자랑하는 애견미용사가 다양하고 깔끔한 스타일을 연출해 줄 뿐만 아니라, 애견목욕과 애견호텔 서비스, 애견용품 및 분양이 가능하며 애견유치원도 운영하고 있다.특히, 써니네의 자랑거리는 3층짜리 규모의 애견호텔이다. 1층은 대형견 호텔, 2층과 3층은 소형ㆍ중형견 호텔로 애견들을 위한 깨끗한 편의시설을 제공한다.일반 커피숍과는 달리 예쁜 강아지들과 함께 사진도 찍고, 소중한 사람들과 대화도 나누며 휴식을 취하며 색다른 추억을 만들 수 있다. 이 밖에도 써니네 애견카페에서는 다양한 기념행사와 이벤트를 준비하여 방문한 손님과 애견들에게 또다른 즐거움을 준다.",37.556678,126.9232923
T.G.I 프라이데이스(부산서면점),음식점,패밀리레스토랑,부산,부산진구,"미국식, 멕시칸, 이탈리안 요리와 한국화한 퓨전요리에 다양한 음료와 칵테일을 준비하고 있다. T.G.I.FRIDAY'S에서는 세계 어디서나 동일한 맛의 음식을 즐길 수 있다.서면점은 백화점 내에 위치하고 있어 출입구나 엘리베이터, 장애인용화장실등을 이용해 편리하게 식사를 즐길 수 있다. 장애인전용주차구역이 있는 주차장에서 엘리베이터로의 접근로는 경사져 있다.",35.1568347,129.0543164
베이뷰레스토랑,음식점,서양식,울산,동구," 오션뷰호텔내에 위치한 레스토랑으로 조식뷔페, 점심식사, 저녁식사까지 간단한 주류까지 곁들일 수 있는 곳이다. 멕시코요리에서 피자, 파스타, 각종 스테이크 미치 랍스터까지 양식에서 중식등 다양한 요리를 즐길 수 있다. 특히 인도 현지 주방장이 자신있게 선보이는 매주 금요일 인도 뷔페는 많은 국내외 고객들로부터 사랑을 받고 있다.호텔 뒤 주차장에서 건물로 턱 없이 들어갈 수 있으며 엘리베이트로 이동 가능하다. ",35.4935696,129.4253394
가문,음식점,중식,서울,강북구,수유중앙시장 부근의 중국음식점이다. 주출입구에 약 3cm 정도의 높이 차이가 있고 좌석이 의자와 테이블로 되어 있다.,37.6422793,127.0109314
하나유키,음식점,일식,서울,마포구,서울에서 갖는 일본의 저녁' 이라는 모토로 시작한 하나유키는 일본의 '에도시대'를 배경으로 한 건축물을 실내에 재현한 코스요리 일식 전문 음식점이다. 하나유키에서는 신선하고 안전한 재료를 사용하여 음식을 제공한다.,37.5393493,126.942632
인사동찻집,커피/음료점,카페/전통찻집,서울,종로구,인사동에 있는 한옥 찻집으로 모든 전통차는 직접 끓여 만들고 있다. 여름메뉴인 빙수의 팥역시 직접 끓여서 빙수를 만들어 낸다.,37.5739333,126.9827048
옛찻집,커피/음료점,카페/전통찻집,서울,종로구,"인사동에 위치한 옛찻집은 영화 촬영 장소로 이용될 만큼 유명한 전통 찻집으로, 한국의 전통 고유민속차들과 전통적인 간식들을 판매한다. 온돌바닥이 있는 찻집으로, 인사동과 한국 특유의 분위기를 느낄 수 있는 곳이다. 여름메뉴인 빙수의 팥역시 직접 끓여서 빙수를 만들어 낸다.",37.573593,126.9831515
샤오훼이양 샤브샤브(삼성점),음식점,중식,서울,강남구,"""샤오훼이양""은 중국요식업계 2위로 중국, 미국, 일본 등 전세계 700여 개 분점을 보유하고 있다. ""샤오훼이양"" 샤브샤브는 2001년도에 내몽고에서 시작되어 중국으로 오직 전골냄비와 고기에만 의존해 7년 만에 중국 전역을 장악했으며, 해외에도 진출하여 연 수입 50여 억 위안(한국 돈으로 1조원)에 달하는 비약적인 발전을 이룩하였고 중국 요식업의 징크스인 ""큰 규모가 될 수 없고, 크게 성공할 수 없으며, 체인화가 어렵다"" 를 깨뜨리고, KFC, 피자헛을 소유하고 있는 바이셩(百?)그룹에 이어 중국요식업 100대 기업 2위에 등극했다. 탕에는 대추, 인삼, 초과, 구기자, 용안, 백육두구 등의 몸에 좋은 최고급 약재가 사용된다. 개인화로에 개인냄비를 사용하는 것이 특징이다.",37.5068888,127.0603973
